Plug,Depth,Box,Track,Cm. u. top.,Orientation,Length,Width,Volume,Weight,Porosity,Density (grain),Density (bulk),Permeability,,Avg. 3,Avg. 5,Avg. 7
1163,3.01,1,2,1,Hori.,,,5.00,6.50,43.10,2.29,1.300,,,0.813942885,0.924052223,0.829946117
1162,10.66,1,3,80,Hori.,,,13.89,15.86,53.28,2.44,1.142,,,1.540087039,1.161924564,1.01258348
1161,13.52,2,1,15,Hori.,,,17.99,39.19,19.07,2.69,2.178,,,1.503207606,1.417616871,1.213395937
1160,15.65,2,2,35,Hori.,,,14.10,16.77,51.61,2.46,1.189,,,1.548751901,1.438754312,1.405768819
1159,18.23,2,4,18,Hori.,,,6.50,8.31,47.15,2.42,1.278,,,1.291170148,1.479710615,1.415653254
1158,20.45,3,1,55,Hori.,,,10.55,14.83,41.07,2.39,1.406,,,1.343586304,1.317862333,1.438905056
1157,23.05,3,3,4,Hori.,,,11.80,15.89,45.23,2.46,1.347,,,1.373829474,1.340908245,1.362560667
1156,25.82,3,4,90,Hori.,,,11.62,15.91,42.59,2.39,1.369,,,1.340130828,1.414020286,1.4832613
1155,28.23,4,1,90,Hori.,,,8.93,11.65,45.18,2.38,1.305,,,1.439268018,1.539736072,1.5425963
1154,30.36,4,3,30,Hori.,,,11.04,18.15,37.41,2.63,1.644,,,1.660959713,1.609175346,1.579439728
1153,32.79,5,1,19,Hori.,36.63,24.75,17.51,35.62,24.07,2.68,2.034,2.101,,1.790698138,1.668055376,1.610291575
1152,35.37,5,3,80,Hori.,,,14.37,24.34,36.17,2.65,1.694,,,1.797221291,1.719651743,1.613124494
1151,37.90,6,2,40,Hori.,,,14.09,23.44,36.66,2.63,1.664,,,1.63999028,1.668651691,1.633262863
1150,39.70,6,4,35,Hori.,,,8.55,13.36,39.69,2.59,1.563,,,1.53839526,1.550910433,1.652308314
1149,42.39,7,2,18,Hori.,,,12.57,17.46,47.10,2.63,1.389,,,1.465718142,1.567617105,1.606953382
1148,44.46,7,4,5,Hori.,,,12.95,18.72,44.73,2.62,1.446,,,1.537307076,1.578255187,1.625686399
1147,46.91,8,2,16,Hori.,42.52,24.81,20.30,36.08,33.24,2.66,1.777,1.730,,1.646560452,1.630728098,1.603701466
1146,48.74,8,4,4,Hori.,45.53,24.77,21.75,37.34,35.57,2.66,1.717,4.013,,1.773019722,1.654863136,1.594445304
