,DEPTH,TIME,TXRX1,TXRX2,TXRX3,R1R2,R2R3,R1R3,NGAM_S,NGAM_E1,COND_E1,TEMP_E1,TEMP_E2,COND_E2,NGAM_E2
0,348.02,40.81,,,,,,,,,,,,,
1,348.01,41.59,,,,,,,,,,,,,
2,348.0,42.32,,,,,,,,,,,,,
3,347.99,42.97,,,,,,,,,,,,,
4,347.98,43.71,,,,,,,,,,,,,
5,347.97,44.31,,,,,,,,,,,,,
6,347.96,45.07,,,,,,,,,,,,,
7,347.95,45.73,,,,,,,,,,,,,
8,347.94,46.86,,,,,,,,,,,,,
9,347.93,47.49,,,,,,,,,,,,,
10,347.92,48.19,,,,,,,,,,,,,
11,347.91,48.82,,,,,,,,,,,,,
12,347.9,49.46,,,,,,,,,,,,,
13,347.89,50.1,,,,,,,,,,,,,
14,347.88,50.74,,,,,,,,,,,,,
15,347.87,51.46,,,,,,,,,,,,,
16,347.86,52.1,,,,,,,,,,,,,
17,347.85,52.74,,,,,,,,,,,,,
18,347.84,53.38,,,,,,,,,,,,,
19,347.83,54.02,,,,,,,,,,,,,
20,347.82,54.66,,,,,,,,,,,,,
21,347.81,55.31,,,,,,,,,,,,,
22,347.8,55.95,,,,,,,,,,,,,
23,347.79,56.59,,,,,,,,,,,,,
24,347.78,57.23,,,,,,,,,,,,,
25,347.77,57.88,,,,,,,,,,,,,
26,347.76,58.53,,,,,,,,,,,,,
27,347.75,59.16,,,,,,,,,,,,,
28,347.74,59.87,,,,,,,,,,,,,
29,347.73,60.84,,,,,,,,,,,,,
30,347.72,62.0,,,,,,,,,,,,,
31,347.71,62.64,,,,,,,,,,,,,
32,347.7,63.29,,,,,,,,,,,,,
33,347.69,64.06,,,,,,,,,,,,,
34,347.68,64.71,,,,,,,,,,,,,
35,347.67,65.36,,,,,,,,,,,,,
36,347.66,66.0,,,,,,,,,,,,,
37,347.65,66.64,,,,,,,,,,,,,
38,347.64,67.29,,,,,,,,,,,,,
39,347.63,67.92,,,,,,,,,,,,,
40,347.62,68.55,,,,,,,,,,,,,
41,347.61,69.19,,,,,,,,,,,,,
42,347.6,69.84,,,,,,,,,,,,,
43,347.59,70.48,,,,,,,,,,,13.37,29319.35,9.55
44,347.58,71.26,,,,,,,,,,,13.37,29304.77,10.87
45,347.57,71.84,,,,,,,,,,,13.37,29290.18,11.76
46,347.56,72.42,,,,,,,,,,,13.37,29276.54,11.76
47,347.55,73.01,,,,,,,,,,,13.37,29263.84,11.76
48,347.54,73.66,,,,,,,,,,,13.37,29251.42,11.76
49,347.53,74.45,,,,,,,,,,,13.37,29242.01,12.2
50,347.52,75.23,,,,,,,,,,,13.37,29234.48,12.2
51,347.51,75.81,,,,,,,,,,,13.37,29226.96,12.2
52,347.5,77.0,,,,,,,,,,,13.37,29219.9,11.76
53,347.49,77.79,,,,,,,,,,,13.37,29213.79,11.31
54,347.48,78.43,,,,,,,,,,,13.36,29209.55,12.64
55,347.47,79.33,,,,,,,,,,,13.36,29207.2,13.08
56,347.46,79.92,,,,,,,,,,,13.36,29207.2,14.23
57,347.45,80.55,,,,,,,,,,,13.36,29209.08,16.0
58,347.44,81.47,,,,,,,,,,,13.36,29213.31,15.11
59,347.43,82.07,,,,,,,,,,,13.36,29219.15,13.97
60,347.42,82.75,,,,,,,,,,,13.36,29223.85,13.08
61,347.41,83.41,,,,,,,,,,,13.35,29229.03,13.08
62,347.4,84.06,,,,,,,,,,,13.35,29236.08,12.2
63,347.39,84.68,,,,,,,,,,,13.35,29244.08,12.2
64,347.38,85.3,,,,,,,,,,,13.36,29253.02,13.97
65,347.37,85.87,,,,,,,,,,,13.36,29261.95,13.08
66,347.36,86.69,,,,,,,,,,,13.36,29272.3,12.64
67,347.35,87.33,,,,,,,,,,,13.37,29284.25,13.08
68,347.34,87.96,,,,,,,,,,,13.37,29296.01,14.41
69,347.33,88.59,,,,,,,,,,,13.37,29305.42,14.85
70,347.32,89.24,,,,,,,,,,,13.37,29310.13,14.41
71,347.31,89.88,,,,,,,,,,,13.38,29309.66,13.52
72,347.3,90.52,,,,,,,,,,,13.38,29302.6,13.08
73,347.29,91.16,,,,,,,,,,,13.38,29287.55,11.93
74,347.28,91.79,,,,,,,,,,,13.38,29263.57,11.05
75,347.27,92.42,,,,,,,,,,,13.38,29229.72,11.49
76,347.26,93.06,,,,,,,,,,,13.37,29186.95,13.26
77,347.25,93.69,,,,,,,,,,,13.37,29134.79,14.14
78,347.24,94.32,,,,,,,,,,,13.37,29076.34,13.7
79,347.23,95.02,,,,,,,,,,,13.37,29009.63,13.7
80,347.22,95.79,,,,,,,,,,,13.37,28938.7,14.58
81,347.21,96.75,,,,,,,,,,,13.36,28864.5,12.82
82,347.2,97.35,,,,,,,,,,,13.36,28786.1,13.7
83,347.19,98.06,,,,,,,,,,,13.36,28706.31,14.14
84,347.18,98.7,,,,,,,,,,,13.36,28628.88,13.7
85,347.17,99.34,,,,,,,,,,,13.36,28558.05,15.03
86,347.16,99.97,,,,,,,,,,,13.36,28491.0,15.47
87,347.15,100.6,,,,,,,,,,,13.36,28429.59,16.35
88,347.14,101.24,,,,,,,,,,,13.35,28376.64,16.79
89,347.13,101.87,,,,,,,,,,,13.35,28329.78,17.68
90,347.12,102.51,,,,,,,,,,,13.35,28291.64,18.56
91,347.11,103.15,,,,,,,,,,,13.35,28258.38,18.12
92,347.1,103.78,,,,,,,,,,,13.35,28230.28,19.0
93,347.09,104.42,,,,,,,,,,,13.35,28208.74,19.0
94,347.08,105.05,,,,,,,,,,,13.35,28190.01,20.33
95,347.07,105.88,,,,,,,,,,,13.35,28173.16,19.45
96,347.06,106.52,,,,,,,,,,,13.35,28160.52,20.33
97,347.05,107.16,,,,,,,,,,,13.35,28151.25,19.89
98,347.04,107.86,,,,,,,,,,,13.36,28145.17,20.77
99,347.03,108.56,,,,,,,,,,,13.36,28136.75,21.21
100,347.02,109.32,,,,,,,,,,,13.36,28122.71,20.33
101,347.01,109.91,,,,,,,,12.46,439.43,13.36,13.36,28099.51,19.89
102,347.0,110.48,,,,,,,,10.96,439.43,13.36,13.36,28069.11,18.12
103,346.99,111.13,,,,,,,,9.46,439.03,13.36,13.36,28034.51,16.79
104,346.98,111.77,,,,,,,,9.99,439.03,13.36,13.35,27996.17,17.24
105,346.97,112.36,,,,,,,,10.43,439.03,13.37,13.35,27952.7,16.79
106,346.96,113.06,,,,,,,,10.96,439.03,13.37,13.34,27905.97,15.91
107,346.95,113.66,,,,,,,,11.4,439.03,13.37,13.34,27863.9,15.91
108,346.94,114.29,,,,,,,,11.49,439.19,13.37,13.34,27838.56,15.47
109,346.93,114.88,,,,,,,,11.93,439.43,13.37,13.34,27831.54,15.47
110,346.92,115.53,,,,,,,,11.93,439.19,13.38,13.34,27859.16,13.7
111,346.91,116.1,,,,,,,,12.37,439.03,13.38,13.34,27975.5,13.44
112,346.9,116.99,,,,,,,,11.93,439.19,13.38,13.34,28236.23,13.88
113,346.89,117.69,,,,,,,,12.37,439.03,13.38,13.34,28681.48,12.99
114,346.88,118.26,,,,,,,,11.84,439.19,13.38,13.34,29255.57,12.11
115,346.87,119.36,,,,,,,,11.4,439.03,13.37,13.34,30095.18,11.23
116,346.86,120.63,,,,,,,,10.96,439.03,13.37,13.34,31104.17,9.9
117,346.85,121.27,,,,,,,,9.99,439.03,13.37,13.34,32122.11,10.34
118,346.84,121.88,,,,,,,,9.55,439.43,13.37,13.35,33132.98,10.78
119,346.83,122.49,,,,,,,,9.99,439.03,13.36,13.35,34128.42,9.9
120,346.82,123.11,,,,,,,,9.55,439.03,13.36,13.35,35106.09,10.78
121,346.81,123.74,,,,,,,,9.02,438.63,13.36,13.35,36050.97,10.25
122,346.8,124.37,,,,,,,,8.57,439.03,13.36,13.35,36911.33,9.81
123,346.79,125.0,,,,,,,,7.6,439.03,13.36,13.35,37635.23,10.7
124,346.78,125.64,-847.5,,,0.24,,0.47,,7.6,439.03,13.36,13.36,38181.63,10.25
125,346.77,126.27,-695.61,,,0.29,,0.58,,7.07,439.03,13.36,13.36,38603.35,10.25
126,346.76,126.92,-543.71,,,0.37,,0.74,,6.63,439.03,13.36,13.36,38765.67,9.37
127,346.75,127.55,-391.82,,,0.51,,1.02,,6.19,439.19,13.36,13.36,38766.06,10.7
128,346.74,128.19,-239.93,,,0.83,,1.67,,4.86,439.03,13.37,13.37,38762.92,9.63
129,346.73,128.83,-88.04,,,2.27,,4.54,,4.86,438.63,13.37,13.37,38761.45,9.19
130,346.72,129.47,63.71,,,-3.14,,-6.28,,3.98,439.03,13.37,13.37,38760.46,8.75
131,346.71,130.11,63.86,,,-3.13,,-6.26,,3.98,438.63,13.37,13.37,38759.48,9.19
132,346.7,130.74,63.86,,,-3.13,,-6.26,,3.98,439.03,13.38,13.37,38758.5,9.63
133,346.69,131.37,63.86,,,-3.13,,-6.26,,4.86,439.03,13.38,13.36,38758.01,10.96
134,346.68,132.0,63.86,-844.64,,-0.22,0.24,-6.26,,5.3,439.03,13.37,13.36,38757.52,10.96
135,346.67,132.64,63.86,-690.04,,-0.27,0.29,-6.26,,5.75,439.03,13.37,13.36,38757.03,10.96
136,346.66,133.28,63.86,-535.43,,-0.33,0.37,-6.26,,5.83,439.03,13.37,13.35,38757.52,11.4
137,346.65,133.91,64.0,-380.82,,-0.45,0.53,-6.25,,6.72,439.03,13.37,13.35,38757.03,11.4
138,346.64,134.48,64.0,-226.21,,-0.69,0.88,-6.25,,6.72,439.03,13.37,13.34,38756.54,11.49
139,346.63,135.06,64.14,-71.61,,-1.47,2.79,-6.24,,6.72,439.03,13.37,13.34,38756.24,11.93
140,346.62,135.95,64.29,83.0,,10.69,-2.41,-6.22,,6.28,439.19,13.37,13.33,38755.26,12.2
141,346.61,136.6,64.57,83.0,,10.85,-2.41,-6.19,,5.39,439.43,13.36,13.33,38754.28,11.76
142,346.6,137.54,64.86,83.0,,11.02,-2.41,-6.17,,5.92,439.6,13.36,13.33,38753.79,13.97
143,346.59,138.17,65.14,83.0,,11.2,-2.41,-6.14,,6.36,439.43,13.35,13.33,38753.3,13.97
144,346.58,139.2,65.43,83.0,-842.07,11.38,-0.22,-0.44,,7.34,439.19,13.35,13.33,38753.3,12.2
145,346.57,139.96,65.57,83.0,-684.89,11.48,-0.26,-0.53,,7.78,439.19,13.35,13.34,38752.81,11.76
146,346.56,140.53,65.57,83.0,-527.71,11.48,-0.33,-0.67,,8.66,439.19,13.35,13.34,38752.32,12.2
147,346.55,141.41,65.43,83.0,-370.54,11.38,-0.44,-0.92,,9.1,439.19,13.36,13.34,38751.83,12.2
148,346.54,141.99,65.14,83.0,-213.36,11.2,-0.67,-1.44,,8.66,439.35,13.36,13.35,38751.34,11.76
149,346.53,142.76,64.86,83.0,-56.18,11.02,-1.44,-3.3,,8.66,439.6,13.36,13.35,38750.85,11.76
150,346.52,143.65,64.57,83.14,101.0,10.77,11.2,10.98,,8.22,439.35,13.36,13.35,38749.37,9.99
151,346.51,144.8,64.29,83.14,101.0,10.61,11.2,10.89,,8.22,439.6,13.36,13.36,38749.37,9.99
152,346.5,145.37,64.0,83.29,101.0,10.37,11.29,10.81,,8.22,438.95,13.36,13.36,38748.88,10.08
153,346.49,145.96,63.86,83.43,94.86,10.22,17.5,12.9,,8.66,439.19,13.36,13.36,38747.41,11.4
154,346.48,146.66,63.71,83.43,94.86,10.14,17.5,12.84,,9.1,438.95,13.36,13.36,38746.92,10.96
155,346.47,147.31,63.71,83.57,95.0,10.07,17.5,12.79,,9.1,439.19,13.36,13.35,38745.45,10.96
156,346.46,148.02,63.57,83.57,95.14,10.0,17.28,12.67,,9.1,439.03,13.36,13.35,38744.96,10.96
157,346.45,148.6,63.57,83.43,95.29,10.07,16.87,12.61,,10.08,439.19,13.36,13.35,38743.97,9.81
158,346.44,149.31,63.43,83.43,95.43,10.0,16.67,12.5,,11.05,439.03,13.36,13.35,38742.99,10.25
159,346.43,149.95,63.43,83.14,95.57,10.14,16.09,12.44,,10.96,439.03,13.36,13.35,38742.5,9.37
160,346.42,150.66,63.29,83.0,101.86,10.14,10.61,10.37,,10.52,438.63,13.35,13.35,38742.01,8.93
161,346.41,151.31,63.29,82.86,102.0,10.22,10.45,10.33,,9.55,438.87,13.35,13.34,38742.5,9.37
162,346.4,151.95,63.29,82.57,102.0,10.37,10.29,10.33,,9.1,438.63,13.35,13.34,38742.01,9.81
163,346.39,152.61,63.29,82.43,102.14,10.45,10.14,10.29,,8.22,438.87,13.35,13.34,38741.72,8.93
164,346.38,153.25,63.14,82.29,102.14,10.45,10.07,10.26,,7.78,438.63,13.36,13.34,38741.72,9.37
165,346.37,153.89,63.14,82.43,102.14,10.37,10.14,10.26,,7.78,438.87,13.36,13.35,38741.23,9.37
166,346.36,154.53,63.14,82.57,102.14,10.29,10.22,10.26,,8.22,438.47,13.36,13.35,38740.74,10.25
167,346.35,155.16,63.14,82.43,102.0,10.37,10.22,10.29,,8.22,438.63,13.36,13.35,38739.75,11.14
168,346.34,155.79,63.14,82.57,101.86,10.29,10.37,10.33,,7.78,438.47,13.36,13.35,38739.75,11.14
169,346.33,156.43,63.0,82.71,101.71,10.14,10.53,10.33,,7.34,438.63,13.36,13.35,38739.75,10.16
170,346.32,157.08,63.0,82.86,101.43,10.07,10.77,10.41,,5.92,438.47,13.36,13.35,38739.26,8.4
171,346.31,157.73,63.0,83.0,101.14,10.0,11.02,10.49,,4.6,438.63,13.37,13.35,38739.26,8.4
172,346.3,158.32,63.0,82.86,100.86,10.07,11.11,10.57,,4.6,438.63,13.37,13.36,38738.77,7.96
173,346.29,158.95,63.0,82.86,100.57,10.07,11.29,10.65,,4.6,438.47,13.37,13.36,38738.77,7.96
174,346.28,159.54,63.14,83.0,100.43,10.07,11.48,10.73,,4.07,438.63,13.37,13.36,38738.58,7.96
